serialId,polishTitle,originalTitle,year,fullRating,voteCount
10044668,Atelier spiczastych kapeluszy,Tongari Bōshi no Atelier,2026,8.04918,61
708161,"Ronja, córka zbójnika",Sanzoku no Musume Rōnja,2014,7.45122,164
128572,Golden Boy,Golden Boy,1995,7.79439,1391
336357,Spicy City,Spicy City,1997,6.77778,36
656330,Family Tools,Family Tools,2013,4.70588,85
199085,Blue Gender,Blue Gender,1999,6.82178,202
277673,BECK: Mongolian Chop Squad,BECK: Mongolian Chop Squad,2004,8.05078,1280
10024076,Uśmiechnięci przyjaciele,Smiling Friends,2020,7.92492,1505
10089481,Takopii no Genzai,Takopii no Genzai,2025,8.10727,550
327873,Dokaben,Dokaben,1976,5.4,5
650306,Newsroom,The Newsroom,2012,7.71314,8457
10015188,Próba generalna,The Rehearsal,2022,7.76531,3886
484439,The Inbetweeners,The Inbetweeners,2008,7.20759,2688
10044329,Mahō Shōjo Magical Destroyers,Mahō Shōjo Magical Destroyers,2023,5.5,14
129542,Vision of Escaflowne,Tenkū no Escaflowne,1996,7.77458,661
728963,Po drugiej stronie muru,Over the Garden Wall,2014,8.52439,10740
172243,Spaced,Spaced,1999,7.87111,931
800835,Genialna przyjaciółka,L'amica geniale,2018,8.06717,10957
160488,Planetes,Planetes,2003,7.71587,271
10058986,Dan Da Dan,Dandadan,2024,7.88427,3223
187367,Gunsmith Cats,Gunsmith Cats,1995,7.23113,212
10021561,Heike Monogatari,Heike Monogatari,2021,7.36364,22
182420,The Maxx,The Maxx,1995,7.78534,191
10031408,Pluto,Pluto,2023,7.60671,1729
831401,Vinland Saga,Vinland Saga,2019,8.20973,4339
35939,Dom,Dom,1980,7.79677,22241
829258,Devs,Devs,2020,7.29465,14071
875837,Behawiorysta,Behawiorysta,2022,6.86188,19490
764372,Nobunaga Concerto,Nobunaga Concerto,2014,7.6087,23
870958,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Isekai Ittara Honki Dasu,2021,7.67565,965
793839,Philip K. Dick's Electric Dreams,Philip K. Dick's Electric Dreams,2017,7.21337,3426
875980,Kasztanowy ludzik,Kastanjemanden,2021,7.20924,29569
875491,Biały Lotos,The White Lotus,2021,7.56023,80635
740327,Biuro szpiegów, Le Bureau des Légendes,2015,8.12098,1554
850536,Kami no Tō: Tower of God,Kami no Tō: Tower of God,2020,7.27442,645
93924,Sąsiedzi,Neighbours,1985,8.06164,438
112663,Zatoka serc,Home and Away,1988,6.48148,135
10042364,1670,1670,2023,7.94168,136479
684177,Vicious,Vicious,2013,7.81378,1713
10029337,Scavengers Reign,Scavengers Reign,2023,8.37962,1541
702927,Boku no Ita Jikan,Boku no Ita Jikan,2014,8.02286,175
10012030,Złoty dotyk Nathana,Nathan for You,2013,8.81849,595
10004652,Stamtąd,From,2022,7.49467,56555
849793,Continental: W świecie Johna Wicka,The Continental: From the World of John Wick,2023,6.67677,7128
36671,Ekstradycja,Ekstradycja,1995,7.54681,20402
658891,Line of Duty - Wydział wewnętrzny,Line of Duty,2012,8.33779,8751
10017539,Edukacja XD,Emigracja XD,2023,7.24346,26953
809722,Turbulencje,Manifest,2018,6.74314,13221
792875,Wspaniała pani Maisel,The Marvelous Mrs. Maisel,2017,8.0871,10539
866824,Gwiezdne wojny: Andor,Andor,2022,8.02066,29909
418550,Shigurui,Shigurui,2007,8.0628,844
10009492,Wojownicy Jednorożca,Unicorn: Warriors Eternal,2023,6.62222,225
843538,Moon Knight,Moon Knight,2022,6.97491,24069
627987,Usagi Drop,Usagi Drop,2011,8.07632,1271
10024272,Lycoris Recoil,Lycoris Recoil,2022,7.53459,159
863715,Peacemaker,Peacemaker,2022,7.74393,20623
601294,Nichijō,Nichijō,2011,7.86417,508
138123,Azumanga Daiō The Animation,Azumanga Daiō The Animation,2002,7.87717,692
372648,Flight of the Conchords,Flight of the Conchords,2007,8.07158,3702
851246,Awantura,Beef,2023,7.43565,26310
146234,Cosmos,Cosmos,1980,7.27861,664
10023425,Historia świata: Część II,History of the World: Part II,2023,5.23225,521
134618,Strefa mroku,The Twilight Zone,1959,7.96097,2152
734993,Gakkō Gurashi!,Gakkō Gurashi!,2015,6.65588,340
607039,Bez tajemnic,Bez tajemnic,2011,7.69287,12340
610040,Fate/Zero,Fate/Zero,2011,7.98389,4159
829671,I Think You Should Leave with Tim Robinson,I Think You Should Leave with Tim Robinson,2019,7.24421,864
608346,Idiota za granicą,An Idiot Abroad,2010,7.84753,2676
790131,S.W.A.T.,S.W.A.T.,2017,7.27409,2065
10028188,Konsultant,The Consultant,2023,6.47578,2560
805677,Sowi Dom,The Owl House,2020,8.39273,2037
10014510,Poker Face,Poker Face,2023,6.99733,7481
860894,Warszawianka,Warszawianka,2023,6.32272,11468
862322,Dobre rady Johna Wilsona,How to with John Wilson,2020,8.28509,5728
10023496,Kalejdoskop,Kaleidoscope,2023,6.28213,6582
250128,Statyści,Extras,2005,7.91938,4242
870925,Joe Pera opowiada,Joe Pera Talks with You,2018,8.37558,434
770169,Maniac,Maniac,2018,7.24718,28234
463705,Ostre jak brzytwa,Underbelly,2008,7.51515,66
841887,Bezpaństwowcy,Stateless,2020,7.24081,4082
684445,Pozostawieni,The Leftovers,2014,7.44598,23900
793727,Carnival Row,Carnival Row,2019,7.33616,14999
484761,Treme,Treme,2010,7.70883,1518
722893,Kto się odważy,Show Me a Hero,2015,7.50226,1995
767896,Kroniki Times Square,The Deuce,2017,7.71765,8826
393624,Murder Princess,Murder Princess,2007,6.77723,202
465321,Mnemosyne: Mnemosyne no Musume-tachi,Mnemosyne: Mnemosyne no Musume-tachi,2008,7.14905,577
166288,Genocyber,Genocyber,1994,5.22535,142
148848,Meitantei Holmes,Meitantei Holmes,1984,4.38182,55
486350,Bōnen no Xamdou,Bōnen no Xamdou,2008,7.54305,302
276780,Karas,Karas,2005,7.48611,648
10014341,ONI: Opowieść o bogu piorunów,Oni: Thunder God's Tale,2022,7.59538,173
10016663,Kowbojka z Kopenhagi,Copenhagen Cowboy,2022,6.1819,1105
145076,Seihō Bukyō Outlaw Star,Seihō Bukyō Outlaw Star,1998,7.06349,126
696081,Space Dandy,Space Dandy,2014,7.34807,362
202981,Shōjo Kakumei Utena,Shōjo Kakumei Utena,1997,8.01708,527
281465,Ginga Eiyū Densetsu,Ginga Eiyū Densetsu,1988,7.81627,332
842300,Jedna planeta. Siedem kontynentów,"Seven Worlds, One Planet",2019,8.35952,662
849739,Planeta doskonała,Perfect Planet,2021,8.29319,382
232023,Gankutsuou: Hrabia Monte Christo,Gankutsuō,2004,7.59538,346
301010,Nana,Nana,2006,8.17886,7587
813752,RErideD: Tokigoe no Derrida,RErideD: Tokigoe no Derrida,2018,5.09091,22
181823,Battlestar Galactica,Battlestar Galactica,2004,7.98559,21651
191392,RahXephon,RahXephon,2002,7.28374,289
867477,Zaginiony Ollie,Lost Ollie,2022,7.6426,277
848204,Klangor,Klangor,2021,7.68426,31849
644764,Banshee,Banshee,2013,7.9339,24010
869002,Turysta,The Tourist,2022,6.43058,3911
832320,For All Mankind,For All Mankind,2019,7.80888,9936
863381,Pachinko,Pachinko,2022,7.86819,2367
10009265,Strażnicy sprawiedliwości,The Guardians of Justice,2022,5.26789,545
497642,Higashi no Eden,Higashi no Eden,2009,7.54545,1100
168057,"Ima, Soko ni Iru Boku","Ima, Soko ni Iru Boku",1999,7.68182,220
155103,Last Exile,Last Exile,2003,7.71169,1155
105615,Witch Hunter Robin,Witch Hunter Robin,2002,7.67073,1066
655013,Shinsekai Yori,Shinsekai Yori,2012,8.02718,2465
779456,Sukcesja,Succession,2018,8.22925,63988
195581,Alfred Hitchcock Przedstawia,Alfred Hitchcock Presents,1955,8.0043,5112
661798,JoJo's Bizarre Adventure,JoJo no Kimyō na Bōken,2012,7.93699,4031
199888,The Corner,The Corner,2000,8.19816,434
794373,Kruk,Kruk,2018,8.02291,42732
808109,Rojst,Rojst,2018,7.39828,96752
856226,Fundacja,Foundation,2021,7.32493,10033
103922,Daria,Daria,1997,8.07374,4475
672337,Aku no Hana,Aku no Hana,2013,7.30103,485
707083,Ping Pong,Ping Pong,2014,7.83367,493
833866,Nowy wspaniały świat,Brave New World,2020,6.47533,10233
810751,Euforia,Euphoria,2019,7.72501,101629
832687,Fruits Basket,Fruits Basket,2019,7.93258,534
211018,Garth Marenghi's Darkplace,Garth Marenghi's Darkplace,2004,8.07131,1234
199379,Dekalog - Polska 93,Dekalog - Polska 93,1993,8.75,12
329986,Życie na Ziemi,Life on Earth,1979,7.18996,279
543946,Życie,Life,2009,7.81788,1186
612051,Planeta ludzi,Human Planet,2011,7.87231,1347
690404,Outlander,Outlander,2014,7.97661,34971
853054,Fumetsu no Anata e,Fumetsu no Anata e,2021,7.46528,432
512751,Community,Community,2009,7.52974,19553
769054,Holistyczna agencja detektywistyczna Dirka Gently'ego,Dirk Gently's Holistic Detective Agency,2016,7.85155,16383
426887,Shinreigari: Ghost Hound,Shinreigari: Ghost Hound,2007,7.22069,290
228096,Kino no Tabi: The Beautiful World,Kino no Tabi: The Beautiful World,2003,8.10759,883
806791,Ernest i Celestyna,"Ernest et Célestine, La Collection",2017,7.42308,26
677720,Afryka,Africa,2013,7.89866,523
101513,Idiota,Idiot,2003,7.79352,586
426888,Baccano!,Baccano!,2007,7.97763,2548
708201,Tabu,Taboo,2017,7.91038,73031
479967,Clannad: After Story,Clannad: After Story,2008,8.21778,4206
192515,Monster,Monster,2004,8.15817,6196
741023,Steins;Gate 0,Steins;Gate 0,2018,7.88032,869
828868,Jak sprzedawać dragi w sieci (szybko),How to Sell Drugs Online (Fast),2019,6.98165,16624
750300,Sygnał,Si-geu-neol,2015,8.11215,642
737412,Babilon Berlin,Babylon Berlin,2017,8.01066,8632
526554,Spartakus: Krew i piach,Spartacus: Blood and Sand,2010,8.03065,79844
565378,Pora na przygodę!,Adventure Time with Finn and Jake,2010,8.1013,33417
625092,Wodogrzmoty Małe,Gravity Falls,2012,8.32954,27566
809555,Paragraf 22,Catch-22,2019,7.55395,10129
847745,Normalni ludzie,Normal People,2020,7.78351,28255
815642,Dororo,Dororo,2019,7.94649,1626
201352,Texhnolyze,Texhnolyze,2003,7.98259,1436
699317,Noragami,Noragami,2014,7.90876,6499
634404,Mirai Nikki,Mirai Nikki,2011,7.64131,6376
729163,Death Parade,Death Parade,2015,7.87372,5971
707689,Tokyo Ghoul,Tokyo Ghoul,2014,7.58723,12261
713323,Kiseijū,Kiseijū,2014,7.8719,5519
640729,Danger 5,Danger 5,2011,8.3285,758
110541,Glina,Glina,2003,8.08288,29789
654281,Piraci,Black Sails,2014,7.92248,27915
771749,Artyści,Artyści,2016,7.93095,10369
746188,Belfer,Belfer,2016,7.75719,128934
673541,Długa noc,The Night Of,2016,7.65499,30205
671074,Rick i Morty,Rick and Morty,2013,8.57111,120303
706211,Constantine,Constantine,2014,7.08125,11606
221833,Jak poznałem waszą matkę,How I Met Your Mother,2005,7.98133,215510
117482,Tom i Jerry,Tom and Jerry,1940,7.69326,41390
657033,Stróż prawa,Copper,2012,6.95493,1309
500917,Białe kołnierzyki,White Collar,2009,7.85387,34161
190890,Trawka,Weeds,2005,7.45735,29094
38724,M*A*S*H,M*A*S*H,1972,7.8166,35311
618892,Miasto cudów,Magic City,2012,7.37955,2142
511352,Irys,A-i-ri-seu,2009,8.10802,935
628533,Hell on Wheels: Witaj w piekle,Hell on Wheels,2011,7.83217,5297
559517,Louie,Louie,2010,8.06513,4130
94457,Głowa rodziny,Family Guy,1999,7.9594,69777
87960,Simpsonowie,The Simpsons,1989,7.98777,79909
875459,Farma Clarksona,Clarkson's Farm,2021,8.59798,7338
